year,month,day,bookings,season
2017,August,8,85,Summer
2017,August,9,95,Summer
2017,August,10,89,Summer
2017,August,11,74,Summer
2017,August,12,122,Summer
2017,August,13,92,Summer
2017,August,14,101,Summer
2017,August,15,98,Summer
2017,August,16,100,Summer
2017,August,17,108,Summer
2017,August,18,100,Summer
2017,August,19,105,Summer
2017,August,20,114,Summer
2017,August,21,102,Summer
2017,August,22,72,Summer
2017,August,23,88,Summer
2017,August,24,98,Summer
2017,August,25,140,Summer
2017,August,26,97,Summer
2017,August,27,125,Summer
2017,August,28,147,Summer
2017,August,29,81,Summer
2017,August,30,62,Summer
2017,August,31,89,Summer
2017,February,1,57,Winter
2017,February,2,91,Winter
2017,February,3,85,Winter
2017,February,4,119,Winter
2017,February,5,72,Winter
2017,February,6,83,Winter
2017,February,7,60,Winter
2017,February,8,64,Winter
2017,February,9,100,Winter
2017,February,10,106,Winter
2017,February,11,88,Winter
2017,February,12,103,Winter
2017,February,13,147,Winter
2017,February,14,99,Winter
2017,February,15,122,Winter
2017,February,16,81,Winter
2017,February,17,127,Winter
2017,February,18,90,Winter
2017,February,19,101,Winter
2017,February,20,112,Winter
2017,February,21,83,Winter
2017,February,22,135,Winter
2017,February,23,100,Winter
2017,February,24,98,Winter
2017,February,25,189,Winter
2017,February,26,138,Winter
2017,February,27,102,Winter
2017,February,28,66,Winter
2017,January,1,79,Winter
2017,January,2,118,Winter
2017,January,3,81,Winter
2017,January,4,64,Winter
2017,January,5,60,Winter
2017,January,6,73,Winter
2017,January,7,67,Winter
2017,January,8,60,Winter
2017,January,9,62,Winter
2017,January,10,84,Winter
2017,January,11,46,Winter
2017,January,12,91,Winter
2017,January,13,59,Winter
2017,January,14,99,Winter
2017,January,15,48,Winter
2017,January,16,154,Winter
2017,January,17,59,Winter
2017,January,18,134,Winter
2017,January,19,88,Winter
2017,January,20,53,Winter
2017,January,21,78,Winter
2017,January,22,69,Winter
2017,January,23,68,Winter
2017,January,24,66,Winter
2017,January,25,92,Winter
2017,January,26,82,Winter
2017,January,27,117,Winter
2017,January,28,76,Winter
2017,January,29,56,Winter
2017,January,30,85,Winter
2017,January,31,63,Winter
2017,July,1,114,Summer
2017,July,2,92,Summer
2017,July,3,110,Summer
2017,July,4,145,Summer
2017,July,5,70,Summer
2017,July,6,136,Summer
2017,July,7,102,Summer
2017,July,8,95,Summer
2017,July,9,130,Summer
2017,July,10,119,Summer
2017,July,11,112,Summer
2017,July,12,113,Summer
2017,July,13,147,Summer
2017,July,14,81,Summer
2017,July,15,162,Summer
2017,July,16,103,Summer
2017,July,17,114,Summer
2017,July,18,100,Summer
2017,July,19,73,Summer
2017,July,20,88,Summer
2017,July,21,95,Summer
2017,July,22,124,Summer
2017,July,23,94,Summer
2017,July,24,141,Summer
2017,July,25,92,Summer
2017,July,26,81,Summer
2017,July,27,100,Summer
2017,July,28,85,Summer
2017,July,29,110,Summer
2017,July,30,90,Summer
2017,July,31,111,Summer
2017,June,1,127,Summer
2017,June,2,137,Summer
2017,June,3,121,Summer
2017,June,4,96,Summer
2017,June,5,115,Summer
2017,June,6,93,Summer
2017,June,7,85,Summer
2017,June,8,120,Summer
2017,June,9,126,Summer
2017,June,10,96,Summer
2017,June,11,131,Summer
2017,June,12,107,Summer
2017,June,13,84,Summer
2017,June,14,93,Summer
2017,June,15,120,Summer
2017,June,16,93,Summer
2017,June,17,108,Summer
2017,June,18,90,Summer
2017,June,19,111,Summer
2017,June,20,105,Summer
2017,June,21,81,Summer
2017,June,22,108,Summer
2017,June,23,103,Summer
2017,June,24,92,Summer
2017,June,25,131,Summer
2017,June,26,101,Summer
2017,June,27,110,Summer
2017,June,28,115,Summer
2017,June,29,92,Summer
2017,June,30,117,Summer
2017,March,1,104,Spring
2017,March,2,179,Spring
2017,March,3,96,Spring
2017,March,4,58,Spring
2017,March,5,129,Spring
2017,March,6,125,Spring
2017,March,7,97,Spring
2017,March,8,70,Spring
2017,March,9,112,Spring
2017,March,10,131,Spring
2017,March,11,103,Spring
2017,March,12,80,Spring
2017,March,13,132,Spring
2017,March,14,109,Spring
2017,March,15,109,Spring
2017,March,16,120,Spring
2017,March,17,96,Spring
2017,March,18,89,Spring
2017,March,19,119,Spring
2017,March,20,135,Spring
2017,March,21,72,Spring
2017,March,22,62,Spring
2017,March,23,90,Spring
2017,March,24,131,Spring
2017,March,25,92,Spring
2017,March,26,93,Spring
2017,March,27,114,Spring
2017,March,28,67,Spring
2017,March,29,130,Spring
2017,March,30,124,Spring
2017,March,31,130,Spring
2017,May,1,117,Spring
2017,May,2,132,Spring
2017,May,3,92,Spring
2017,May,4,108,Spring
2017,May,5,135,Spring
2017,May,6,107,Spring
2017,May,7,88,Spring
2017,May,8,137,Spring
2017,May,9,143,Spring
2017,May,10,85,Spring
2017,May,11,127,Spring
2017,May,12,96,Spring
2017,May,13,106,Spring
2017,May,14,130,Spring
2017,May,15,122,Spring
2017,May,16,92,Spring
2017,May,17,111,Spring
2017,May,18,118,Spring
2017,May,19,91,Spring
2017,May,20,113,Spring
2017,May,21,103,Spring
2017,May,22,127,Spring
2017,May,23,116,Spring
2017,May,24,156,Spring
2017,May,25,190,Spring
2017,May,26,99,Spring
2017,May,27,74,Spring
2017,May,28,137,Spring
2017,May,29,115,Spring
2017,May,30,90,Spring
2017,May,31,94,Spring
